"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4805761-<b>A</b>,"6 x 10-22",,0.1567,'-,"0.0139463 unit decrease",[0.011-0.017],DPY19L3,"Educational attainment","educational attainment",'-,GCST90105038,19:32460894
rs8112297-<b>A</b>,"7 x 10-7",,0.2981,'-,"0.00566684 unit increase",[0.0034-0.0079],NUDT19,"Educational attainment","educational attainment",'-,GCST90105038,19:32708877
rs10164318-<b>T</b>,"3 x 10-9",,0.3276,'-,"0.00659677 unit increase",[0.0044-0.0088],CEP89,"Educational attainment","educational attainment",'-,GCST90105038,19:32968392
rs41119-<b>T</b>,"4 x 10-8",,0.3577,'-,"0.00600214 unit increase",[0.0039-0.0081],"RPL21P131, PEPD","Educational attainment","educational attainment",'-,GCST90105038,19:33524998
rs8110747-<b>T</b>,"6 x 10-10",,0.408,'-,"0.00659211 unit decrease",[0.0045-0.0087],HAUS5-DT,"Educational attainment","educational attainment",'-,GCST90105038,19:35612615
rs35209304-<b>T</b>,"6 x 10-14",,0.1915,'-,"0.00998886 unit increase",[0.0074-0.0126],TYMSP2,"Educational attainment","educational attainment",'-,GCST90105038,19:35684153
rs58622306-<b>A</b>,"4 x 10-8",,0.9668,'-,"0.0161534 unit increase",[0.01-0.022],"TYROBP, LRFN3","Educational attainment","educational attainment",'-,GCST90105038,19:35912160
rs111227517-<b>T</b>,"2 x 10-10",,0.8091,'-,"0.00853775 unit decrease",[0.0059-0.0112],DPF1,"Educational attainment","educational attainment",'-,GCST90105038,19:38215054
rs62121816-<b>T</b>,"7 x 10-9",,0.4615,'-,"0.00606649 unit increase",[0.004-0.0081],ACTN4,"Educational attainment","educational attainment",'-,GCST90105038,19:38673824
rs400078-<b>T</b>,"1 x 10-7",,0.407,'-,"0.00566116 unit decrease",[0.0036-0.0077],"FBXO27, ACP7","Educational attainment","educational attainment",'-,GCST90105038,19:39076807
rs12983038-<b>A</b>,"1 x 10-9",,0.1914,'-,"0.00808832 unit decrease",[0.0055-0.0107],"MSRB1P1, IFNL4","Educational attainment","educational attainment",'-,GCST90105038,19:39250484
rs405509-<b>T</b>,"4 x 10-10",,0.4811,'-,"0.00654834 unit increase",[0.0045-0.0086],"APOE, TOMM40","Educational attainment","educational attainment",'-,GCST90105038,19:44905579
rs10402747-<b>T</b>,"7 x 10-11",,0.5144,'-,"0.00685839 unit increase",[0.0048-0.0089],CKM,"Educational attainment","educational attainment",'-,GCST90105038,19:45311990
rs2241722-<b>A</b>,"2 x 10-11",,0.3233,'-,"0.00757964 unit increase",[0.0054-0.0098],EML2,"Educational attainment","educational attainment",'-,GCST90105038,19:45616609
rs35226705-<b>A</b>,"5 x 10-9",,0.5358,'-,"0.00614474 unit increase",[0.0041-0.0082],RSPH6A,"Educational attainment","educational attainment",'-,GCST90105038,19:45798198
rs55797612-<b>A</b>,"1 x 10-8",,0.8193,'-,"0.00773557 unit increase",[0.0051-0.0104],"MYPOP, IRF2BP1","Educational attainment","educational attainment",'-,GCST90105038,19:45889937
rs73059315-<b>A</b>,"3 x 10-8",,0.7238,'-,"0.00652817 unit decrease",[0.0042-0.0088],ARHGAP35,"Educational attainment","educational attainment",'-,GCST90105038,19:46979848
rs62135070-<b>T</b>,"7 x 10-8",,0.0469,'-,"0.0162483 unit increase",[0.01-0.022],ZC3H4,"Educational attainment","educational attainment",'-,GCST90105038,19:47112578
rs12151015-<b>C</b>,"6 x 10-9",,0.8835,'-,"0.00955972 unit decrease",[0.0063-0.0128],"BICRA, RN7SL322P","Educational attainment","educational attainment",'-,GCST90105038,19:47598540
rs12976992-<b>A</b>,"2 x 10-9",,0.5222,'-,"0.00632752 unit decrease",[0.0043-0.0084],KCNC3,"Educational attainment","educational attainment",'-,GCST90105038,19:50315519
rs307913-<b>A</b>,"3 x 10-10",,0.8508,'-,"0.00928996 unit increase",[0.0064-0.0122],CACNG7,"Educational attainment","educational attainment",'-,GCST90105038,19:53939797
rs17516383-<b>A</b>,"3 x 10-9",,0.3112,'-,"0.00687623 unit increase",[0.0046-0.0091],"LAIR1, TTYH1","Educational attainment","educational attainment",'-,GCST90105038,19:54415008
rs192436652-<b>T</b>,"1 x 10-16",,0.0262,'-,"0.0276467 unit decrease",[0.021-0.034],LENG8,"Educational attainment","educational attainment",'-,GCST90105038,19:54449569
rs7247619-<b>A</b>,"8 x 10-9",,0.1007,'-,"0.01002 unit decrease",[0.0066-0.0134],EPN1,"Educational attainment","educational attainment",'-,GCST90105038,19:55705574
rs11667653-<b>T</b>,"1 x 10-10",,0.1897,'-,"0.00863718 unit decrease",[0.006-0.0113],"SIGLEC31P, ZNF71","Educational attainment","educational attainment",'-,GCST90105038,19:56590508
rs62114178-<b>A</b>,"2 x 10-10",,0.3724,'-,"0.00685088 unit increase",[0.0047-0.009],"ZNF8-DT, ZNF544","Educational attainment","educational attainment",'-,GCST90105038,19:58267085
rs490535-<b>T</b>,"4 x 10-10",,0.3345,'-,"0.00694748 unit increase",[0.0048-0.0091],PTPRA,"Educational attainment","educational attainment",'-,GCST90105038,20:3020697
rs6028084-<b>T</b>,"3 x 10-45",,0.6106,'-,"0.0151426 unit increase",[0.013-0.017],CDH4,"Educational attainment","educational attainment",'-,GCST90105038,20:61263049
rs79532062-<b>T</b>,"7 x 10-9",,0.034,'-,"0.0194327 unit decrease",[0.013-0.026],CDH4,"Educational attainment","educational attainment",'-,GCST90105038,20:61271763
rs6028103-<b>T</b>,"5 x 10-14",,0.8264,'-,"0.010416 unit increase",[0.0077-0.0131],CDH4,"Educational attainment","educational attainment",'-,GCST90105038,20:61311096
rs6061441-<b>T</b>,"2 x 10-10",,0.2015,'-,"0.0082819 unit decrease",[0.0057-0.0108],CDH4,"Educational attainment","educational attainment",'-,GCST90105038,20:61447013
rs6061461-<b>C</b>,"2 x 10-9",,0.4895,'-,"0.00631399 unit decrease",[0.0043-0.0084],OSBPL2,"Educational attainment","educational attainment",'-,GCST90105038,20:62240699
rs16983844-<b>A</b>,"8 x 10-17",,0.2089,'-,"0.0107414 unit increase",[0.0082-0.0133],GMEB2,"Educational attainment","educational attainment",'-,GCST90105038,20:63594155
rs2738782-<b>A</b>,"2 x 10-8",,0.3888,'-,"0.00609889 unit increase",[0.004-0.0082],"RTEL1-TNFRSF6B, RTEL1","Educational attainment","educational attainment",'-,GCST90105038,20:63677217
rs6010675-<b>T</b>,"9 x 10-10",,0.9497,'-,"0.0147807 unit decrease",[0.01-0.02],"C20orf181, ZBTB46","Educational attainment","educational attainment",'-,GCST90105038,20:63837373
rs45570933-<b>A</b>,"6 x 10-9",,0.0713,'-,"0.0118981 unit increase",[0.0079-0.0159],ZNF512B,"Educational attainment","educational attainment",'-,GCST90105038,20:63960107
rs4809393-<b>A</b>,"2 x 10-12",,0.6655,'-,"0.0078067 unit increase",[0.0056-0.01],TCEA2,"Educational attainment","educational attainment",'-,GCST90105038,20:64069739
rs61746505-<b>C</b>,"5 x 10-10",,0.0483,'-,"0.0152789 unit increase",[0.01-0.02],MYT1,"Educational attainment","educational attainment",'-,GCST90105038,20:64208357
rs351880-<b>T</b>,"3 x 10-10",,0.1964,'-,"0.00828369 unit decrease",[0.0057-0.0109],MYT1,"Educational attainment","educational attainment",'-,GCST90105038,20:64224768
rs1969600-<b>A</b>,"3 x 10-8",,0.2309,'-,"0.00690869 unit increase",[0.0045-0.0093],NRIP1,"Educational attainment","educational attainment",'-,GCST90105038,21:15042453
rs34980782-<b>T</b>,"4 x 10-8",,0.8894,'-,"0.00916846 unit increase",[0.0059-0.0124],"NEK4P1, RNU1-98P","Educational attainment","educational attainment",'-,GCST90105038,21:17043171
rs2824194-<b>A</b>,"4 x 10-12",,0.5035,'-,"0.0072616 unit increase",[0.0052-0.0093],"RNU1-98P, NEK4P1","Educational attainment","educational attainment",'-,GCST90105038,21:17049727
rs1389997-<b>T</b>,"2 x 10-12",,0.3238,'-,"0.00791109 unit increase",[0.0057-0.0101],"BTG3-AS1, C21orf91-OT1","Educational attainment","educational attainment",'-,GCST90105038,21:17673757
rs1740190-<b>A</b>,"7 x 10-13",,0.7035,'-,"0.00821987 unit increase",[0.006-0.0105],"TMPRSS15, MIR548XHG","Educational attainment","educational attainment",'-,GCST90105038,21:18547135
rs28807201-<b>T</b>,"2 x 10-23",,0.6998,'-,"0.0113948 unit decrease",[0.0092-0.0136],MIR548XHG,"Educational attainment","educational attainment",'-,GCST90105038,21:18671918
rs2824999-<b>T</b>,"2 x 10-14",,0.7304,'-,"0.00902318 unit decrease",[0.0067-0.0113],MIR548XHG,"Educational attainment","educational attainment",'-,GCST90105038,21:18688352
rs117196567-<b>A</b>,"2 x 10-8",,0.0441,'-,"0.0142356 unit decrease",[0.0092-0.0192],MIR548XHG,"Educational attainment","educational attainment",'-,GCST90105038,21:18691955
rs12152036-<b>A</b>,"4 x 10-8",,0.4906,'-,"0.00574845 unit increase",[0.0037-0.0078],"MIR548XHG, PPIAP22","Educational attainment","educational attainment",'-,GCST90105038,21:18763898
rs2223728-<b>A</b>,"3 x 10-9",,0.3506,'-,"0.00651744 unit decrease",[0.0044-0.0087],"PPIAP1, NCAM2","Educational attainment","educational attainment",'-,GCST90105038,21:20861674
rs73224350-<b>A</b>,"1 x 10-10",,0.8618,'-,"0.00976036 unit increase",[0.0068-0.0127],"NCAM2, PPIAP1","Educational attainment","educational attainment",'-,GCST90105038,21:20916336
rs232464-<b>T</b>,"3 x 10-13",,0.2226,'-,"0.00918058 unit increase",[0.0067-0.0116],NCAM2,"Educational attainment","educational attainment",'-,GCST90105038,21:21323001
rs232423-<b>A</b>,"8 x 10-9",,0.3589,'-,"0.00628697 unit decrease",[0.0041-0.0084],NCAM2,"Educational attainment","educational attainment",'-,GCST90105038,21:21382903
rs3092073-<b>A</b>,"1 x 10-11",,0.4573,'-,"0.00711555 unit decrease",[0.0051-0.0092],ZNF335,"Educational attainment","educational attainment",'-,GCST90105038,20:45967010
rs6131010-<b>A</b>,"6 x 10-10",,0.2682,'-,"0.00729982 unit decrease",[0.005-0.0096],"RPL13P2, NCOA5","Educational attainment","educational attainment",'-,GCST90105038,20:46095666
rs56374036-<b>A</b>,"9 x 10-12",,0.7872,'-,"0.00877024 unit decrease",[0.0063-0.0113],SULF2,"Educational attainment","educational attainment",'-,GCST90105038,20:47738628
rs6122735-<b>T</b>,"7 x 10-12",,0.3927,'-,"0.00734591 unit increase",[0.0052-0.0094],"PREX1, ARFGEF2","Educational attainment","educational attainment",'-,GCST90105038,20:48907195
rs79925479-<b>T</b>,"4 x 10-9",,0.0555,'-,"0.0135373 unit increase",[0.009-0.018],"DDX27, ZNFX1","Educational attainment","educational attainment",'-,GCST90105038,20:49239118
rs6020560-<b>T</b>,"7 x 10-20",,0.5245,'-,"0.00956544 unit decrease",[0.0075-0.0116],"COX6CP2, PTPN1","Educational attainment","educational attainment",'-,GCST90105038,20:50502882
rs8122401-<b>T</b>,"2 x 10-8",,0.6517,'-,"0.0062021 unit decrease",[0.004-0.0084],"KCNG1, RPSAP1","Educational attainment","educational attainment",'-,GCST90105038,20:51092852
rs2750097-<b>A</b>,"5 x 10-12",,0.5883,'-,"0.00734786 unit decrease",[0.0053-0.0094],"RPSAP1, KCNG1","Educational attainment","educational attainment",'-,GCST90105038,20:51112593
rs6091534-<b>T</b>,"8 x 10-12",,0.3794,'-,"0.00737631 unit increase",[0.0053-0.0095],LINC01524,"Educational attainment","educational attainment",'-,GCST90105038,20:52447744
rs3810538-<b>C</b>,"4 x 10-10",,0.0848,'-,"0.011734 unit decrease",[0.0081-0.0154],LINC01524,"Educational attainment","educational attainment",'-,GCST90105038,20:52451169
rs6013574-<b>T</b>,"5 x 10-12",,0.0633,'-,"0.0148619 unit increase",[0.011-0.019],"RPL36P1, TSHZ2","Educational attainment","educational attainment",'-,GCST90105038,20:52946521
rs6063897-<b>C</b>,"2 x 10-15",,0.2431,'-,"0.00970189 unit decrease",[0.0073-0.0121],TSHZ2,"Educational attainment","educational attainment",'-,GCST90105038,20:52990340
rs283272-<b>T</b>,"2 x 10-16",,0.3179,'-,"0.00922957 unit decrease",[0.007-0.0114],"RPL12P4, RNU4ATAC7P","Educational attainment","educational attainment",'-,GCST90105038,20:54916088
rs6024420-<b>T</b>,"9 x 10-10",,0.3061,'-,"0.00696376 unit decrease",[0.0047-0.0092],"LINC01440, CBLN4","Educational attainment","educational attainment",'-,GCST90105038,20:55796044
rs13037516-<b>T</b>,"2 x 10-8",,0.4984,'-,"0.00588703 unit increase",[0.0038-0.0079],"BMP7, RNU6-929P","Educational attainment","educational attainment",'-,GCST90105038,20:56894605
rs77901523-<b>C</b>,"1 x 10-11",,0.0345,'-,"0.019431 unit increase",[0.014-0.025],"BMP7, RNU6-929P","Educational attainment","educational attainment",'-,GCST90105038,20:56958090
rs6070254-<b>A</b>,"4 x 10-10",,0.6747,'-,"0.00700204 unit increase",[0.0048-0.0092],"LINC01742, NKILA","Educational attainment","educational attainment",'-,GCST90105038,20:57761674
rs2145265-<b>T</b>,"2 x 10-14",,0.8408,'-,"0.010953 unit increase",[0.0081-0.0138],PHACTR3,"Educational attainment","educational attainment",'-,GCST90105038,20:59657681
rs860973-<b>T</b>,"1 x 10-13",,0.1846,'-,"0.00998836 unit increase",[0.0073-0.0126],PHACTR3,"Educational attainment","educational attainment",'-,GCST90105038,20:59672181
rs730275-<b>A</b>,"9 x 10-11",,0.865,'-,"0.00992696 unit increase",[0.0069-0.0129],PHACTR3,"Educational attainment","educational attainment",'-,GCST90105038,20:59679038
rs1182532-<b>A</b>,"4 x 10-14",,0.1549,'-,"0.0110653 unit increase",[0.0082-0.0139],PHACTR3,"Educational attainment","educational attainment",'-,GCST90105038,20:59818490
rs2224427-<b>A</b>,"6 x 10-12",,0.4712,'-,"0.0072062 unit decrease",[0.0052-0.0093],MIR646HG,"Educational attainment","educational attainment",'-,GCST90105038,20:60161075
rs6027503-<b>C</b>,"3 x 10-14",,0.5689,'-,"0.00805961 unit decrease",[0.006-0.0101],MIR646HG,"Educational attainment","educational attainment",'-,GCST90105038,20:60318526
rs61350676-<b>A</b>,"8 x 10-10",,0.1752,'-,"0.00846336 unit increase",[0.0058-0.0112],MIR646HG,"Educational attainment","educational attainment",'-,GCST90105038,20:60440069
rs6027896-<b>T</b>,"4 x 10-11",,0.6717,'-,"0.00736975 unit increase",[0.0052-0.0096],"MIR646HG, LINC01718","Educational attainment","educational attainment",'-,GCST90105038,20:60879754
rs12124493-<b>A</b>,"3 x 10-25",,0.313,'-,"0.0117305 unit decrease",[0.0095-0.0139],"LINC01776, SNX7","Educational attainment","educational attainment",'-,GCST90105038,1:98300085
rs9729347-<b>T</b>,"2 x 10-9",,0.6914,'-,"0.00682297 unit decrease",[0.0046-0.009],SNX7,"Educational attainment","educational attainment",'-,GCST90105038,1:98664709
rs35391040-<b>A</b>,"2 x 10-14",(conditional),0.0066,'-,"0.05078 unit increase",[0.038-0.064],SNX7,"Educational attainment","educational attainment",'-,GCST90105038,1:98695628
rs6692379-<b>A</b>,"6 x 10-9",,0.1897,'-,"0.00775711 unit decrease",[0.0051-0.0104],SNX7,"Educational attainment","educational attainment",'-,GCST90105038,1:98756019
rs1394885-<b>C</b>,"1 x 10-6",,0.7857,'-,"0.00615993 unit increase",[0.0037-0.0087],"PLPPR5, PLPPR4","Educational attainment","educational attainment",'-,GCST90105038,1:99074654
rs12028526-<b>T</b>,"2 x 10-11",,0.5576,'-,"0.0071093 unit increase",[0.005-0.0092],"LINC01349, GPR88","Educational attainment","educational attainment",'-,GCST90105038,1:100548178
rs17125616-<b>T</b>,"2 x 10-9",(conditional),0.4961,'-,"0.00634378 unit increase",[0.0043-0.0084],OLFM3,"Educational attainment","educational attainment",'-,GCST90105038,1:101863928
rs10047094-<b>C</b>,"2 x 10-6",,0.7345,'-,"0.00563563 unit decrease",[0.0033-0.008],"OLFM3, COL11A1","Educational attainment","educational attainment",'-,GCST90105038,1:102351313
rs9663072-<b>A</b>,"5 x 10-9",,0.6985,'-,"0.00666492 unit decrease",[0.0044-0.0089],"RN7SKP285, COL11A1","Educational attainment","educational attainment",'-,GCST90105038,1:103122951
rs7544544-<b>A</b>,"6 x 10-14",,0.6316,'-,"0.00813509 unit increase",[0.006-0.0103],"FTLP17, CDK4P1","Educational attainment","educational attainment",'-,GCST90105038,1:105300369
rs11184849-<b>T</b>,"2 x 10-9",,0.3528,'-,"0.00655157 unit decrease",[0.0044-0.0087],"LINC01677, MTATP6P14","Educational attainment","educational attainment",'-,GCST90105038,1:106308415
rs138841940-<b>A</b>,"5 x 10-8",(conditional),0.0099,'-,"0.0298681 unit increase",[0.019-0.041],"LINC01677, MTATP6P14","Educational attainment","educational attainment",'-,GCST90105038,1:106379671
rs35912643-<b>C</b>,"1 x 10-13",,0.8483,'-,"0.0108225 unit decrease",[0.008-0.0137],"MTATP6P14, LINC01677","Educational attainment","educational attainment",'-,GCST90105038,1:106472871
rs7549469-<b>A</b>,"2 x 10-15",,0.6796,'-,"0.00890771 unit increase",[0.0067-0.0111],"MTATP6P14, LINC01677","Educational attainment","educational attainment",'-,GCST90105038,1:106761954
rs11184996-<b>T</b>,"1 x 10-9",,0.9035,'-,"0.0107413 unit decrease",[0.0073-0.0142],LINC01661,"Educational attainment","educational attainment",'-,GCST90105038,1:106860670
rs3108680-<b>T</b>,"2 x 10-20",,0.6531,'-,"0.0101964 unit increase",[0.008-0.0124],"PRMT6, LINC01661","Educational attainment","educational attainment",'-,GCST90105038,1:107030375
rs11185112-<b>T</b>,"3 x 10-8",(conditional),0.5122,'-,"0.0058247 unit decrease",[0.0038-0.0079],NTNG1,"Educational attainment","educational attainment",'-,GCST90105038,1:107421652
rs610219-<b>A</b>,"7 x 10-18",(conditional),0.6727,'-,"0.00968667 unit increase",[0.0075-0.0119],"NDUFA4P1, VAV3","Educational attainment","educational attainment",'-,GCST90105038,1:107534099
rs14184-<b>C</b>,"7 x 10-32",,0.7007,'-,"0.0134303 unit decrease",[0.011-0.016],AMIGO1,"Educational attainment","educational attainment",'-,GCST90105038,1:109504488
rs503558-<b>T</b>,"1 x 10-8",,0.3869,'-,"0.00615118 unit increase",[0.004-0.0083],GNAI3,"Educational attainment","educational attainment",'-,GCST90105038,1:109558291
rs10745307-<b>A</b>,"3 x 10-24",,0.5474,'-,"0.0106863 unit decrease",[0.0086-0.0127],STRIP1,"Educational attainment","educational attainment",'-,GCST90105038,1:110037593
rs557810-<b>A</b>,"2 x 10-8",,0.444,'-,"0.00599075 unit increase",[0.0039-0.0081],SLC6A17,"Educational attainment","educational attainment",'-,GCST90105038,1:110187421
rs143084201-<b>A</b>,"3 x 10-8",,0.0157,'-,"0.0239543 unit decrease",[0.016-0.032],KCNC4,"Educational attainment","educational attainment",'-,GCST90105038,1:110212453
rs514092-<b>T</b>,"2 x 10-12",,0.6323,'-,"0.00762119 unit decrease",[0.0055-0.0098],KCNC4,"Educational attainment","educational attainment",'-,GCST90105038,1:110218661
rs59123361-<b>A</b>,"1 x 10-19",,0.1027,'-,"0.0157301 unit decrease",[0.012-0.019],KCNC4,"Educational attainment","educational attainment",'-,GCST90105038,1:110223832
rs6669004-<b>A</b>,"7 x 10-10",,0.7254,'-,"0.00722604 unit decrease",[0.0049-0.0095],"SLC16A4, LAMTOR5-AS1","Educational attainment","educational attainment",'-,GCST90105038,1:110364158
rs72695265-<b>T</b>,"1 x 10-14",,0.2292,'-,"0.00961602 unit decrease",[0.0072-0.0121],RAP1A,"Educational attainment","educational attainment",'-,GCST90105038,1:111613057
rs565522-<b>T</b>,"3 x 10-9",,0.5635,'-,"0.00625983 unit increase",[0.0042-0.0083],INKA2,"Educational attainment","educational attainment",'-,GCST90105038,1:111718911
rs2618039-<b>A</b>,"3 x 10-23",,0.6105,'-,"0.0106432 unit increase",[0.0085-0.0127],KCND3,"Educational attainment","educational attainment",'-,GCST90105038,1:111781489
rs3121984-<b>T</b>,"3 x 10-17",,0.69,'-,"0.00956813 unit increase",[0.0074-0.0118],LINC02884,"Educational attainment","educational attainment",'-,GCST90105038,1:112273258
rs1759684-<b>A</b>,"8 x 10-9",,0.6512,'-,"0.00633621 unit decrease",[0.0042-0.0085],CTTNBP2NL,"Educational attainment","educational attainment",'-,GCST90105038,1:112421990
rs2999158-<b>T</b>,"5 x 10-14",,0.3324,'-,"0.00837216 unit increase",[0.0062-0.0105],MOV10,"Educational attainment","educational attainment",'-,GCST90105038,1:112696856
rs12746551-<b>C</b>,"7 x 10-18",,0.969,'-,"0.0261401 unit increase",[0.02-0.032],PTPN22,"Educational attainment","educational attainment",'-,GCST90105038,1:113832344
rs10732635-<b>T</b>,"4 x 10-11",,0.5597,'-,"0.00697261 unit increase",[0.0049-0.009],HIPK1,"Educational attainment","educational attainment",'-,GCST90105038,1:113976729
rs149078852-<b>A</b>,"4 x 10-9",(conditional),0.0014,'-,"0.0955894 unit decrease",[0.064-0.127],OLFML3,"Educational attainment","educational attainment",'-,GCST90105038,1:114005460
rs72692054-<b>A</b>,"7 x 10-8",,0.889,'-,"0.00900725 unit increase",[0.0057-0.0123],"MRPL57P1, SYT6","Educational attainment","educational attainment",'-,GCST90105038,1:114159639
rs116470470-<b>T</b>,"2 x 10-7",,0.9434,'-,"0.0118022 unit decrease",[0.0074-0.0162],DENND2C,"Educational attainment","educational attainment",'-,GCST90105038,1:114621251
rs10858051-<b>A</b>,"9 x 10-11",,0.7446,'-,"0.00778811 unit increase",[0.0054-0.0101],CSDE1,"Educational attainment","educational attainment",'-,GCST90105038,1:114740490
rs2016890-<b>T</b>,"3 x 10-9",(conditional),0.377,'-,"0.00650745 unit decrease",[0.0044-0.0086],"NGF-AS1, LINC01765","Educational attainment","educational attainment",'-,GCST90105038,1:115132000
rs72699131-<b>A</b>,"4 x 10-9",(conditional),0.7084,'-,"0.00683881 unit decrease",[0.0046-0.0091],PTGFRN,"Educational attainment","educational attainment",'-,GCST90105038,1:116984530
rs1289861-<b>A</b>,"3 x 10-10",,0.2271,'-,"0.0078402 unit decrease",[0.0054-0.0103],LINC01525,"Educational attainment","educational attainment",'-,GCST90105038,1:117311291
rs12144850-<b>A</b>,"1 x 10-9",,0.7448,'-,"0.00728387 unit increase",[0.0049-0.0096],MAN1A2,"Educational attainment","educational attainment",'-,GCST90105038,1:117453277
rs73002120-<b>A</b>,"1 x 10-16",,0.1753,'-,"0.0114126 unit increase",[0.0087-0.0141],"MAN1A2, VPS25P1","Educational attainment","educational attainment",'-,GCST90105038,1:117548980
rs12139450-<b>T</b>,"2 x 10-9",(conditional),0.8853,'-,"0.0100243 unit decrease",[0.0068-0.0133],"PNRC2P1, VDAC2P3","Educational attainment","educational attainment",'-,GCST90105038,1:117750728
rs11583404-<b>T</b>,"7 x 10-9",,0.6373,'-,"0.00629366 unit decrease",[0.0042-0.0084],RNF115,"Educational attainment","educational attainment",'-,GCST90105038,1:145794920
rs61841669-<b>T</b>,"3 x 10-9",(conditional),0.0203,'-,"0.0228272 unit increase",[0.015-0.03],"NBPF13P, PRKAB2","Educational attainment","educational attainment",'-,GCST90105038,1:147138912
rs77944781-<b>A</b>,"1 x 10-6",,0.0309,'-,"0.0149467 unit decrease",[0.009-0.0209],BCL9,"Educational attainment","educational attainment",'-,GCST90105038,1:147563473
rs115802109-<b>T</b>,"6 x 10-14",,0.954,'-,"0.0191009 unit decrease",[0.014-0.024],VPS45,"Educational attainment","educational attainment",'-,GCST90105038,1:150081307
rs7546304-<b>C</b>,"5 x 10-12",,0.3012,'-,"0.00786938 unit decrease",[0.0056-0.0101],SEMA6C,"Educational attainment","educational attainment",'-,GCST90105038,1:151142008
rs9436029-<b>T</b>,"6 x 10-8",,0.1104,'-,"0.00908373 unit decrease",[0.0058-0.0124],"PSMB4, SELENBP1","Educational attainment","educational attainment",'-,GCST90105038,1:151394902
rs6661183-<b>A</b>,"1 x 10-12",,0.2716,'-,"0.00842904 unit increase",[0.0061-0.0107],"LINC01360, RN7SKP19","Educational attainment","educational attainment",'-,GCST90105038,1:73252126
rs10465817-<b>A</b>,"8 x 10-16",,0.3927,'-,"0.00862866 unit decrease",[0.0065-0.0107],"LINC02238, LINC01360","Educational attainment","educational attainment",'-,GCST90105038,1:73510003
rs7412683-<b>C</b>,"5 x 10-12",,0.5893,'-,"0.00733159 unit decrease",[0.0052-0.0094],LINC02238,"Educational attainment","educational attainment",'-,GCST90105038,1:73710115
rs12120654-<b>A</b>,"1 x 10-15",,0.0991,'-,"0.0140765 unit increase",[0.011-0.018],"RNU4ATAC8P, RNA5SP50","Educational attainment","educational attainment",'-,GCST90105038,1:73769911
rs4650228-<b>A</b>,"7 x 10-16",,0.4639,'-,"0.00847327 unit decrease",[0.0064-0.0105],"RNA5SP50, RNU4ATAC8P","Educational attainment","educational attainment",'-,GCST90105038,1:73774144
rs77232327-<b>A</b>,"4 x 10-9",,0.9399,'-,"0.0130086 unit increase",[0.0087-0.0173],"RNU4ATAC8P, RNA5SP50","Educational attainment","educational attainment",'-,GCST90105038,1:73829555
rs2124033-<b>A</b>,"1 x 10-9",,0.7376,'-,"0.00730507 unit decrease",[0.0049-0.0097],"RNA5SP50, RNU4ATAC8P","Educational attainment","educational attainment",'-,GCST90105038,1:73861688
rs149274654-<b>C</b>,"1 x 10-14",,0.0343,'-,"0.0228827 unit increase",[0.017-0.029],"RNU4ATAC8P, LRRIQ3","Educational attainment","educational attainment",'-,GCST90105038,1:73912334
rs4142949-<b>A</b>,"7 x 10-24",,0.5269,'-,"0.0105629 unit increase",[0.0085-0.0126],LRRIQ3,"Educational attainment","educational attainment",'-,GCST90105038,1:74106571
rs1527683-<b>T</b>,"1 x 10-17",,0.7969,'-,"0.0111307 unit decrease",[0.0086-0.0137],"FPGT-TNNI3K, TNNI3K","Educational attainment","educational attainment",'-,GCST90105038,1:74357253
rs28568334-<b>C</b>,"4 x 10-13",,0.3203,'-,"0.00815455 unit increase",[0.006-0.0104],TYW3,"Educational attainment","educational attainment",'-,GCST90105038,1:74733615
rs280898-<b>C</b>,"2 x 10-8",,0.7303,'-,"0.00664888 unit decrease",[0.0043-0.009],"LHX8, TYW3","Educational attainment","educational attainment",'-,GCST90105038,1:75038340
rs77584294-<b>A</b>,"4 x 10-22",,0.0399,'-,"0.0259131 unit increase",[0.021-0.031],"LHX8, TYW3","Educational attainment","educational attainment",'-,GCST90105038,1:75075405
rs76985288-<b>T</b>,"2 x 10-8",(conditional),0.9974,'-,"0.0602107 unit increase",[0.039-0.081],SLC44A5,"Educational attainment","educational attainment",'-,GCST90105038,1:75275521
rs211694-<b>A</b>,"4 x 10-10",,0.7654,'-,"0.00771326 unit decrease",[0.0053-0.0101],SLC44A5,"Educational attainment","educational attainment",'-,GCST90105038,1:75603819
rs2289240-<b>A</b>,"1 x 10-8",,0.2934,'-,"0.00659389 unit increase",[0.0043-0.0088],"ST6GALNAC3, ASB17","Educational attainment","educational attainment",'-,GCST90105038,1:76019407
rs587021-<b>T</b>,"9 x 10-12",,0.5805,'-,"0.00724957 unit increase",[0.0052-0.0093],ST6GALNAC3,"Educational attainment","educational attainment",'-,GCST90105038,1:76627326
rs12722889-<b>A</b>,"3 x 10-12",,0.5711,'-,"0.00738084 unit increase",[0.0053-0.0095],ST6GALNAC5,"Educational attainment","educational attainment",'-,GCST90105038,1:76954335
rs2815312-<b>T</b>,"3 x 10-9",,0.199,'-,"0.00779451 unit decrease",[0.0052-0.0104],AK5,"Educational attainment","educational attainment",'-,GCST90105038,1:77295692
rs3911295-<b>A</b>,"1 x 10-9",,0.18,'-,"0.0082847 unit increase",[0.0056-0.011],AK5,"Educational attainment","educational attainment",'-,GCST90105038,1:77373222
