"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6577293-<b>T</b>,"6 x 10-6",,0.7673,'-,"0.1125 unit increase",[0.064-0.161],OLFM3,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012292,1:101965078
rs113935943-<b>T</b>,"7 x 10-6",,0.9261,'-,"0.1869 unit decrease",[0.11-0.27],FHIT,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012292,3:59834034
rs73787509-<b>A</b>,"8 x 10-6",,0.9025,'-,"0.1366 unit increase",[0.077-0.197],ADAMTS19,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012292,5:129470250
rs1965523-<b>A</b>,"8 x 10-6",,0.3822,'-,"0.0889 unit increase",[0.05-0.128],TFEC,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012292,7:116042384
rs55961658-<b>T</b>,"8 x 10-6",,0.4558,'-,"0.1523 unit decrease",[0.085-0.219],"LINC00290, LINC02500","Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012292,4:181175265
rs6039555-<b>A</b>,"9 x 10-6",,0.1414,'-,"0.1146 unit decrease",[0.064-0.165],PAK5,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012292,20:9708903
rs73033497-<b>A</b>,"6 x 10-7",,0.8635,'-,"0.2667 unit increase",[0.16-0.37],"CARD11, GNA12","Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,7:2871025
rs9907361-<b>T</b>,"7 x 10-7",,0.2069,'-,"0.1741 unit decrease",[0.11-0.24],NCBP3,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,17:3820043
rs7302529-<b>T</b>,"7 x 10-7",,0.256,'-,"0.1439 unit increase",[0.087-0.201],"CSRP2, E2F7","Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,12:76927801
rs10179057-<b>T</b>,"1 x 10-6",,0.8285,'-,"0.4402 unit increase",[0.26-0.62],LRP1B,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,2:141877338
rs2063640-<b>A</b>,"2 x 10-6",,0.1049,'-,"0.1927 unit decrease",[0.11-0.27],"ZPLD1, RNU6-461P","Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,3:102484201
rs6577293-<b>T</b>,"6 x 10-6",,0.7652,'-,"0.1132 unit increase",[0.064-0.162],OLFM3,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,1:101965078
rs11583804-<b>A</b>,"7 x 10-6",,0.5708,'-,"0.093 unit increase",[0.052-0.134],ACTRT2,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,1:2961801
rs113935943-<b>T</b>,"7 x 10-6",,0.9261,'-,"0.1869 unit decrease",[0.11-0.27],FHIT,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,3:59834034
rs13864-<b>T</b>,"8 x 10-6",,0.2871,'-,"0.1606 unit decrease",[0.09-0.231],DSCR9,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,21:37221319
rs7521315-<b>A</b>,"8 x 10-6",,0.6103,'-,"0.1393 unit decrease",[0.078-0.201],'-,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,1:5224708
rs55961658-<b>T</b>,"8 x 10-6",,0.4558,'-,"0.1523 unit decrease",[0.085-0.219],"LINC00290, LINC02500","Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,4:181175265
rs7632925-<b>A</b>,"9 x 10-6",,0.7881,'-,"0.1455 unit increase",[0.081-0.21],SLC6A6,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,3:14465290
rs7911793-<b>T</b>,"9 x 10-6",,0.7403,'-,"0.2204 unit decrease",[0.12-0.32],ADAM12,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,10:126042966
rs2060247-<b>C</b>,"9 x 10-6",,0.1548,'-,"0.2731 unit increase",[0.15-0.39],ATCAY,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,19:3902724
rs2130709-<b>A</b>,"1 x 10-5",,0.6005,'-,"0.2197 unit increase",[0.12-0.32],DCHS2,"Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,4:154367038
rs6484581-<b>T</b>,"1 x 10-5",,0.4567,'-,"0.2175 unit increase",[0.12-0.31],"EIF3M, WT1-AS","Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction","disease recurrence, unipolar depression, schizophrenia, sex interaction measurement, obsolete_bipolar disorder",'-,GCST012295,11:32494908
rs4702-<b>?</b>,"2 x 10-11",,'-,'-,'-,'-,FURIN,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,15:90883330
rs2047568-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,SPPL3,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,12:120805987
rs27419-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,MOCS2,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:53125108
rs2098651-<b>?</b>,"7 x 10-9",,'-,'-,'-,'-,TENM2,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:167564265
rs247910-<b>?</b>,"3 x 10-9",,'-,'-,'-,'-,TMEM161B-DT,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:88334952
rs2300861-<b>?</b>,"8 x 10-9",,'-,'-,'-,'-,AKAP6,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,14:32825575
rs395138-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,ENOX1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,13:43696758
rs2388334-<b>?</b>,"1 x 10-11",,'-,'-,'-,'-,"HLA-DRB5, EIF4EBP2P3","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,6:98143746
rs732381-<b>?</b>,"7 x 10-11",,'-,'-,'-,'-,CACNA1I,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,22:39655161
rs746839-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,"MROH5, MIR1302-7","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,8:141607161
rs760648-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,TCF20,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,22:42175022
rs778353-<b>?</b>,"2 x 10-11",,'-,'-,'-,'-,NGEF,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,2:232923640
rs832190-<b>?</b>,"4 x 10-9",,'-,'-,'-,'-,THOC7,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,3:63856953
rs880090-<b>?</b>,"1 x 10-9",,'-,'-,'-,'-,GMIP,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,19:19629920
rs915057-<b>?</b>,"3 x 10-9",,'-,'-,'-,'-,"SYNE2, ESR2","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,14:64219489
rs1002656-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,"FTLP18, GRIK3","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,1:36727140
rs1226412-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,LINC01876,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,2:156254801
rs1484144-<b>?</b>,"4 x 10-9",,'-,'-,'-,'-,"NAA11, LINC01088","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,4:79296443
rs1501361-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,HCN1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:45326671
rs1518367-<b>?</b>,"1 x 10-11",,'-,'-,'-,'-,PLCL1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,2:197942291
rs1615350-<b>?</b>,"5 x 10-10",,'-,'-,'-,'-,MPHOSPH9,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,12:123165788
rs1702294-<b>?</b>,"3 x 10-16",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,"Mapping not available"
rs1730054-<b>?</b>,"6 x 10-10",,'-,'-,'-,'-,RSRC1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,3:158237129
rs1806153-<b>?</b>,"1 x 10-9",,'-,'-,'-,'-,PAUPAR,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,11:31828558
rs1950829-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,LRFN5,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,14:41628734
rs2003490-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,RPS6KL1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,14:74910852
rs12552-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,OLFM4,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,13:53051646
rs2057884-<b>?</b>,"4 x 10-10",,'-,'-,'-,'-,SRPK2,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,7:105289803
rs174592-<b>?</b>,"6 x 10-9",,'-,'-,'-,'-,FADS2,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,11:61851136
rs2103655-<b>?</b>,"1 x 10-9",,'-,'-,'-,'-,"ACTR5, PPP1R16B","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,20:38797315
rs301799-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,"RERE, RERE-AS1","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,1:8429242
rs2332700-<b>?</b>,"5 x 10-10",,'-,'-,'-,'-,RGS6,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,14:71950609
rs631399-<b>?</b>,"7 x 10-11",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,15:37393066
rs2391734-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,"RNU1-130P, LINC02790","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,1:96139035
rs2391769-<b>?</b>,"8 x 10-9",,'-,'-,'-,'-,"RN7SL831P, EEF1A1P11","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,1:96513405
rs2414718-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,15:61570934
rs2514218-<b>?</b>,"2 x 10-11",,'-,'-,'-,'-,DRD2,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,11:113522272
rs2522831-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,PCLO,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,7:82818784
rs2693698-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,BCL11B,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,14:99252882
rs2801578-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,PDE4B,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,1:65866972
rs2842198-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,"HYI-AS1, PTPRF","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,1:43465067
rs2910032-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,LINC01470,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,5:153160794
rs3001723-<b>?</b>,"7 x 10-14",,'-,'-,'-,'-,PTPRF,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,1:43572014
rs3798869-<b>?</b>,"8 x 10-11",,'-,'-,'-,'-,SNAP91,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,6:83618941
rs3812984-<b>?</b>,"3 x 10-9",,'-,'-,'-,'-,PMFBP1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,16:72173898
rs4129585-<b>?</b>,"2 x 10-15",,'-,'-,'-,'-,TSNARE1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, obsolete_bipolar disorder",'-,GCST009600,8:142231572
