"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs17691129-<b>G</b>,"4 x 10-6",,0.08619,1.639,'-,[1.33-2.02],'-,"Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,7:91538287
rs62473335-<b>C</b>,"9 x 10-6",,0.01981,2.373,'-,[1.62-3.476],PTPRN2,"Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,7:109630114
rs535035513-<b>T</b>,"1 x 10-5",,0.01407,2.929,'-,[1.82-4.71399999999999],"RP1, TRMT112P7","Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,8:54500661
rs116946228-<b>G</b>,"5 x 10-6",,0.01331,2.638,'-,[1.74-4.001],'-,"Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,9:80940338
rs776972026-<b>A</b>,"3 x 10-6",,0.01058,2.953,'-,[1.876-4.648],CHORDC1,"Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,11:90205438
rs534128177-<b>T</b>,"7 x 10-6",,0.0168,2.446,'-,[1.65699999999999-3.612],DISC1FP1,"Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,11:90455679
rs180986320-<b>G</b>,"6 x 10-6",,0.01586,2.563,'-,[1.705-3.85399999999999],FGD6,"Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,12:95196849
rs150007474-<b>A</b>,"9 x 10-6",,0.0173,2.525,'-,[1.676-3.805],SRRM4,"Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus",GCST90014127,12:119123145
rs895953-<b>T</b>,"9 x 10-8",,0.81,'-,'-,'-,SETD1B,"Coronary artery disease and HDL cholesterol levels (multivariate analysis)","high density lipoprotein cholesterol measurement, coronary artery disease",'-,GCST007547,12:121811142
rs3741782-<b>A</b>,"3 x 10-9",,0.69,'-,'-,'-,CORO1C,"Coronary artery disease and LDL cholesterol levels (multivariate analysis)","low density lipoprotein cholesterol measurement, coronary artery disease",'-,GCST007546,12:108701361
rs7033354-<b>T</b>,"1 x 10-8",,0.63,'-,'-,'-,BNC2,"Coronary artery disease and LDL cholesterol levels (multivariate analysis)","low density lipoprotein cholesterol measurement, coronary artery disease",'-,GCST007546,9:16904848
rs895953-<b>T</b>,"2 x 10-9",,0.81,'-,'-,'-,SETD1B,"Coronary artery disease and triglyceride levels (multivariate analysis)","triglyceride measurement, coronary artery disease",'-,GCST007545,12:121811142
rs12423664-<b>A</b>,"1 x 10-8",,0.13,'-,'-,'-,FBRSL1,"Coronary artery disease and triglyceride levels (multivariate analysis)","triglyceride measurement, coronary artery disease",'-,GCST007545,12:132493308
rs2908290-<b>A</b>,"2 x 10-8",,0.38,'-,'-,'-,GCK,"Coronary artery disease and triglyceride levels (multivariate analysis)","triglyceride measurement, coronary artery disease",'-,GCST007545,7:44176538
rs1378942-<b>A</b>,"2 x 10-8",,0.62,'-,'-,'-,CSK,"Coronary artery disease and total cholesterol levels (multivariate analysis)","total cholesterol measurement, coronary artery disease",'-,GCST007544,15:74785026
rs1831733-<b>C</b>,"2 x 10-13",,0.482,'-,'-,'-,CDKN2B-AS1,"Coronary heart disease x type 2 diabetes interaction","type 2 diabetes mellitus, coronary artery disease",'-,GCST010551,9:22076072
rs602633-<b>T</b>,"4 x 10-10",,0.216,'-,'-,'-,"CELSR2, PSRC1","Coronary heart disease x type 2 diabetes interaction","type 2 diabetes mellitus, coronary artery disease",'-,GCST010551,1:109278889
rs71039916-<b>T</b>,"8 x 10-9",,0.034,'-,'-,'-,LINC02398,"Coronary heart disease x type 2 diabetes interaction","type 2 diabetes mellitus, coronary artery disease",'-,GCST010551,12:20078593
rs55869368-<b>?</b>,"2 x 10-21",,NR,'-,'-,'-,PLPP3,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,1:56520961
rs4970836-<b>?</b>,"2 x 10-37",,NR,'-,'-,'-,"CELSR2, PSRC1","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,1:109279175
rs4656658-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"NME7, ATP1B1","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,1:169181015
rs17163313-<b>?</b>,"6 x 10-22",,NR,'-,'-,'-,MIA3,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,1:222626283
rs515135-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,"TDRD15, APOB","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,2:21063185
rs1260326-<b>?</b>,"4 x 10-30",,NR,'-,'-,'-,GCKR,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,2:27508073
rs6544713-<b>?</b>,"8 x 10-15",,NR,'-,'-,'-,ABCG8,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,2:43846742
rs6705839-<b>?</b>,"3 x 10-18",,NR,'-,'-,'-,"PARTICL, RPSAP22","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,2:85534156
rs2252641-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,TEX41,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,2:145043894
rs72934535-<b>?</b>,"5 x 10-26",,NR,'-,'-,'-,NBEAL1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,2:203104250
rs17843797-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,UMPS,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,3:124734175
rs7621025-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,STAG1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,3:136553404
rs12695685-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,MRAS,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,3:138377255
rs789294-<b>?</b>,"4 x 10-12",,NR,'-,'-,'-,GPR149,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,3:154339952
rs10857147-<b>?</b>,"8 x 10-12",,NR,'-,'-,'-,"PRDM8, FGF5","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,4:80259918
rs6532796-<b>?</b>,"5 x 10-12",,NR,'-,'-,'-,"ADH4, ADH5","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,4:99121091
rs7678555-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"LINC02502, MAD2L1","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,4:119988346
rs144959191-<b>?</b>,"2 x 10-17",,NR,'-,'-,'-,"EDNRA, PRMT5P1","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,4:147466549
rs11725969-<b>?</b>,"3 x 10-16",,NR,'-,'-,'-,GUCY1A1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,4:155705436
rs112941079-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,SEMA5A,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,5:9545986
rs246600-<b>?</b>,"3 x 10-13",,NR,'-,'-,'-,ARHGAP26,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,5:143137332
rs13197912-<b>?</b>,"2 x 10-29",,NR,'-,'-,'-,PHACTR1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:12908515
rs2754597-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,LINC00240,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:26995168
rs142334036-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,LINC01012,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:27701625
rs1150725-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,ZSCAN26,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:28275923
rs117880736-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,"OR2G1P, OR2J4P","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:29186252
rs117483846-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,ZNRD1ASP,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:30042717
rs139141104-<b>?</b>,"2 x 10-17",,NR,'-,'-,'-,MUC22,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:31021244
rs117796653-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,"MPIG6B, LY6G6C","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:31718824
rs116928325-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,"TSBP1, TSBP1-AS1","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:32309850
rs3822921-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,ANKS1A,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:35089554
rs1832181-<b>?</b>,"6 x 10-22",,NR,'-,'-,'-,"TARID, LINC01312","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:133865027
rs9986540-<b>?</b>,"1 x 10-15",,NR,'-,'-,'-,"MAS1, PNLDC1","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:159821455
rs55730499-<b>?</b>,"7 x 10-122",,NR,'-,'-,'-,LPA,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:160584578
rs55754459-<b>?</b>,"9 x 10-16",,NR,'-,'-,'-,AGPAT4,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,6:161130144
rs2023938-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,HDAC9,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,7:18997152
rs11556924-<b>?</b>,"3 x 10-16",,NR,'-,'-,'-,ZC3HC1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,7:130023656
rs3918226-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,NOS3,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,7:150993088
rs35617716-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,"LPL, RPL30P9","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,8:20012752
rs2954032-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,"TRIB1, LINC00861","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,8:125481150
rs1537372-<b>?</b>,"9 x 10-155",,NR,'-,'-,'-,CDKN2B-AS1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,9:22103184
rs649129-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"Y_RNA, ABO","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,9:133278860
rs9337951-<b>?</b>,"7 x 10-13",,NR,'-,'-,'-,JCAD,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,10:30028144
rs523297-<b>?</b>,"9 x 10-18",,NR,'-,'-,'-,"LINC00841, LINC02881","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,10:44261109
rs7088704-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,TSPAN14,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,10:80482174
rs12221335-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,CNNM2,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,10:103009635
rs7946992-<b>?</b>,"4 x 10-17",,NR,'-,'-,'-,MS4A6A,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,11:60177337
rs6591052-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,"DYNC2H1, MIR4693","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,11:103818483
rs2724414-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,LINC02732,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,11:110385525
rs6589564-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,BUD13,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,11:116753437
rs11170820-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,"FAM242C, FLJ12825","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:54120131
rs4842675-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,ATP2B1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:89681466
rs149607519-<b>?</b>,"2 x 10-54",,NR,'-,'-,'-,LINC01405,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:110951633
rs7137828-<b>?</b>,"3 x 10-21",,NR,'-,'-,'-,ATXN2,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:111494996
rs17696736-<b>?</b>,"7 x 10-16",,NR,'-,'-,'-,NAA25,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:112049014
rs117949785-<b>?</b>,"2 x 10-23",,NR,'-,'-,'-,RPH3A,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:112716052
rs148608463-<b>?</b>,"3 x 10-12",,NR,'-,'-,'-,HNF1A-AS1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:120975224
rs11057830-<b>?</b>,"8 x 10-12",,NR,'-,'-,'-,SCARB1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,12:124822507
rs9551465-<b>?</b>,"4 x 10-13",,NR,'-,'-,'-,FLT1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,13:28388620
rs11617955-<b>?</b>,"3 x 10-14",,NR,'-,'-,'-,COL4A1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,13:110165755
rs1046205-<b>?</b>,"5 x 10-324",,NR,'-,'-,'-,MCF2L,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,13:113097743
rs12897285-<b>?</b>,"6 x 10-12",,NR,'-,'-,'-,HHIPL1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,14:99657718
rs72743461-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,SMAD3,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,15:67149412
rs11072811-<b>?</b>,"8 x 10-25",,NR,'-,'-,'-,MORF4L1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,15:78839988
rs7162318-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,"CARMAL, KRT18P47","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,15:89031951
rs8027450-<b>?</b>,"2 x 10-19",,NR,'-,'-,'-,FURIN,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,15:90875164
rs3764261-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,"HERPUD1, CETP","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,16:56959412
rs3851738-<b>?</b>,"6 x 10-13",,NR,'-,'-,'-,CFDP1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,16:75353635
rs11658797-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,SMG6,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,17:2185675
rs35073649-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,ZNF652,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,17:49345148
rs56289821-<b>?</b>,"1 x 10-29",,NR,'-,'-,'-,SMARCA4,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,19:11077571
rs10417684-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,"MAP1S, FCHO1","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,19:17739496
rs11670056-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,ELL,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,19:18479133
rs2288874-<b>?</b>,"2 x 10-13",,NR,'-,'-,'-,TGFB1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,19:41346870
rs7412-<b>?</b>,"3 x 10-28",,NR,'-,'-,'-,APOE,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,19:44908822
rs976728-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,"TPM3P2, PIGPP3","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,20:33949546
rs77385328-<b>?</b>,"3 x 10-26",,NR,'-,'-,'-,ITCH,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,20:34457287
rs867186-<b>?</b>,"2 x 10-67",,NR,'-,'-,'-,PROCR,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,20:35176751
rs149349935-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,NFS1,"Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,20:35683585
rs28451064-<b>?</b>,"9 x 10-27",,NR,'-,'-,'-,"LINC00310, KCNE2","Coronary artery disease or factor VII levels (pleiotropy)","coronary artery disease, factor VII measurement",'-,GCST90129542,21:34221526
rs11591147-<b>?</b>,"5 x 10-18",,NR,'-,'-,'-,PCSK9,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,1:55039974
rs55869368-<b>?</b>,"1 x 10-21",,NR,'-,'-,'-,PLPP3,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,1:56520961
rs4970836-<b>?</b>,"2 x 10-37",,NR,'-,'-,'-,"CELSR2, PSRC1","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,1:109279175
rs4656658-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"NME7, ATP1B1","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,1:169181015
rs17163313-<b>?</b>,"5 x 10-22",,NR,'-,'-,'-,MIA3,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,1:222626283
rs515135-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,"TDRD15, APOB","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,2:21063185
rs6544713-<b>?</b>,"8 x 10-15",,NR,'-,'-,'-,ABCG8,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,2:43846742
rs6705839-<b>?</b>,"3 x 10-18",,NR,'-,'-,'-,"PARTICL, RPSAP22","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,2:85534156
rs2252641-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,TEX41,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,2:145043894
rs72934535-<b>?</b>,"4 x 10-26",,NR,'-,'-,'-,NBEAL1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,2:203104250
rs17843797-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,UMPS,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,3:124734175
rs7621025-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,STAG1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,3:136553404
rs12695685-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,MRAS,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,3:138377255
rs789294-<b>?</b>,"4 x 10-12",,NR,'-,'-,'-,GPR149,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,3:154339952
rs10857147-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"PRDM8, FGF5","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,4:80259918
rs7678555-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"LINC02502, MAD2L1","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,4:119988346
rs144959191-<b>?</b>,"2 x 10-17",,NR,'-,'-,'-,"EDNRA, PRMT5P1","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,4:147466549
rs11725969-<b>?</b>,"3 x 10-16",,NR,'-,'-,'-,GUCY1A1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,4:155705436
rs112941079-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,SEMA5A,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,5:9545986
rs246600-<b>?</b>,"3 x 10-13",,NR,'-,'-,'-,ARHGAP26,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,5:143137332
rs13197912-<b>?</b>,"2 x 10-29",,NR,'-,'-,'-,PHACTR1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:12908515
rs77737921-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,SCGN,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:25691923
rs9461253-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,BTN2A1,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:26466590
rs9467973-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,LINC00240,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:27042195
rs142334036-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,LINC01012,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:27701625
rs1225600-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,ZSCAN26,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:28269667
rs117880736-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,"OR2G1P, OR2J4P","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:29186252
rs117483846-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,ZNRD1ASP,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:30042717
rs139141104-<b>?</b>,"2 x 10-17",,NR,'-,'-,'-,MUC22,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:31021244
rs115152597-<b>?</b>,"1 x 10-15",,NR,'-,'-,'-,PRRC2A,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:31637065
rs144020436-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,"TSBP1-AS1, TSBP1","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:32316825
rs2621323-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"TAP2, HLA-DOB","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:32820930
rs3822921-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,ANKS1A,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:35089554
rs1832181-<b>?</b>,"4 x 10-23",,NR,'-,'-,'-,"TARID, LINC01312","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:133865027
rs9399599-<b>?</b>,"3 x 10-15",,NR,'-,'-,'-,STXBP5,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:147382163
rs144078421-<b>?</b>,"1 x 10-26",,NR,'-,'-,'-,"IGF2R, AIRN","Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:160003858
rs55730499-<b>?</b>,"4 x 10-122",,NR,'-,'-,'-,LPA,"Coronary artery disease or factor VIII levels (pleiotropy)","factor VIII measurement, coronary artery disease",'-,GCST90129543,6:160584578
